year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,pue
2021,Amazon Web Services,me-central-1,,AE,AE,Middle East (UAE),"25.2631,55.2972 ",1.200
2021,Amazon Web Services,sa-east-1,Central Brazil,BR-CS,BRA,South America (S�o Paulo),"-3.45,-68.95",1.200
2021,Amazon Web Services,us-gov-east-1,PJM,US-MIDA-PJM,PJM_DC,GovCloud (US East),"39.1057,-77.5544 ",1.200
2021,Amazon Web Services,us-gov-west-1,BPA,US-NW-BPAT,BPA,GovCloud (US West),"45.5371,-122.65 ",1.200
2021,Amazon Web Services,cn-north-1,,,,China (Beijing),"39.904,116.4075 ",1.200
2021,Amazon Web Services,cn-northwest-1,,,,China (Ningxia),"38.4795,106.2254 ",1.200
2020,Google Cloud,asia-east1,Taiwan,TW,TW,Taiwan,"25.0375,121.5625",1.100
2020,Google Cloud,asia-east2,Hong Kong,HK,HK,Hong Kong,"22.3,114.2",1.100
2020,Google Cloud,asia-northeast1,Tokyo,JP-TK,JP_TK,Tokyo,"35.6897,139.692",1.100
2020,Google Cloud,asia-northeast2,Kansai,JP-KN,JP_KN,Osaka,"34.6939,135.502",1.100
2020,Google Cloud,asia-northeast3,South Korea,KR,KOR,Seoul,"37.56,126.99",1.100
2020,Google Cloud,asia-south1,Maharashtra,IN-MH,IND,Mumbai,"19.0761,72.8775",1.100
2020,Google Cloud,asia-south2,Uttar Pradesh,IN-UP,IND,Delhi,"28.6092,76.9798",1.100
2020,Google Cloud,asia-southeast1,Singapore,SG,SGP,Singapore,"1.3,103.8",1.100
2020,Google Cloud,asia-southeast2,Indonesia,ID,ID,Jakarta,"-6.2507,106.869",1.100
2020,Google Cloud,australia-southeast1,New South Wales,AUS-NSW,NEM_NSW,Sydney,"-33.8678,151.21",1.100
2020,Google Cloud,australia-southeast2,Victoria,AUS-VIC,NEM_VIC,Melbourne,"-37.8142,144.963",1.100
2020,Google Cloud,europe-central2,Poland,PL,PL,Warsaw,"52.23,21.0111",1.100
2020,Google Cloud,europe-north1,Belgium,BE,BE,Finland,"60.1708,24.9375",1.100
2020,Google Cloud,europe-west1,Great Britain,GB,UK,Belgium,"51.1333,4.5667",1.100
2020,Google Cloud,europe-west2,Germany,DE,DE,London,"51.726,-0.3",1.100
2020,Google Cloud,europe-west3,Netherlands,NL,NL,Frankfurt,"50.1106,8.6822",1.100
2020,Google Cloud,europe-west4,Switzerland,CH,CH,Netherlands,"51.9167,4.5",1.100
2020,Google Cloud,europe-west6,North Italy,IT,IT,Zurich,"47.3744,8.5411",1.100
2020,Google Cloud,northamerica-northeast1,Quebec,CA-QC,HQ,Montr�al,"45.5089,-73.5617",1.100
2020,Google Cloud,southamerica-east1,Central Brazil,BR-CS,BRA,S�o Paulo,"-3.45,-68.95",1.100
2020,Google Cloud,us-central1,MISO,US-MIDW-MISO,MISO_MASON_CITY,Iowa,"41.5725,-93.6105 ",1.100
2020,Google Cloud,us-east1,SC,US-CAR-SC,SC,South Carolina,"34.8354,-82.3646 ",1.100
2020,Google Cloud,us-east4,PJM,US-MIDA-PJM,PJM_DC,Northern Virginia,"39.1057,-77.5544 ",1.100
2020,Google Cloud,us-west1,BPA,US-NW-BPAT,BPA,Oregon,"45.5372,-122.3955 ",1.100
2020,Google Cloud,us-west2,CAISO,US-CAL-CISO,LDWP,Los Angeles,"34.1141,-118.4068 ",1.100
